V1,V2
1,262
1,542
1,958
2,401
2,559
3,64
3,67
3,293
3,432
3,485
3,598
3,631
3,648
5,229
5,325
5,504
6,127
6,395
7,6
7,75
9,12
9,65
9,139
9,175
9,296
9,406
9,516
10,522
11,195
11,227
11,331
11,355
11,367
11,453
11,466
11,487
12,9
12,171
12,406
12,458
12,516
13,25
13,124
13,239
13,335
13,353
13,395
13,476
13,569
13,643
14,13
14,16
14,336
14,793
15,303
15,474
15,475
15,571
15,649
16,17
16,75
16,422
16,467
16,495
16,577
16,622
16,909
17,22
17,24
17,91
17,380
17,538
18,4
18,37
18,53
18,191
18,203
18,360
18,453
18,601
18,610
19,106
19,191
19,200
19,207
19,227
19,352
19,610
19,649
19,807
20,60
20,319
20,372
21,69
21,602
23,319
24,17
24,91
24,538
25,272
25,361
25,422
25,446
25,576
25,595
25,643
26,137
26,179
26,340
26,366
26,421
26,604
26,679
27,45
27,74
27,152
27,473
27,474
27,477
27,547
27,561
27,590
28,87
28,133
28,194
28,220
28,529
28,553
28,615
29,85
29,108
29,191
29,281
29,288
29,463
29,493
29,623
29,647
30,154
30,183
30,284
30,308
30,500
30,549
30,612
31,121
31,221
31,394
31,446
32,396
32,595
34,61
34,119
34,170
34,257
34,377
34,468
34,599
34,642
35,185
35,242
35,251
35,257
35,650
36,329
36,362
36,635
37,4
37,92
37,200
37,300
37,355
37,547
37,573
37,605
37,610
38,40
38,66
38,93
38,128
38,294
38,380
38,509
38,554
38,597
38,621
39,645
39,652
40,149
40,554
40,620
41,277
41,374
41,486
41,493
42,61
42,123
42,168
42,295
42,328
42,366
42,444
42,454
42,501
43,164
43,168
43,307
43,427
44,261
44,566
44,619
45,27
45,74
45,94
45,152
45,199
45,427
45,441
45,459
45,473
45,477
46,238
46,267
46,415
46,503
46,568
46,685
47,40
47,187
47,374
47,436
47,668
48,278
48,562
48,592
49,416
49,436
49,562
49,592
50,52
50,71
50,568
50,573
51,347
51,374
51,451
51,468
51,478
51,529
51,541
51,601
51,649
52,102
52,122
52,618
53,99
53,133
53,191
53,239
53,610
55,544
55,556
55,640
55,677
56,470
57,92
57,259
57,365
57,502
57,607
57,680
58,137
58,211
58,212
58,314
58,332
58,478
58,542
59,95
59,149
59,540
59,638
60,71
60,87
60,179
60,470
60,651
60,662
62,12
62,111
62,157
62,176
62,393
62,491
65,66
65,139
65,166
65,276
65,406
65,502
65,622
65,626
66,161
66,162
66,171
66,282
66,533
66,572
66,665
69,21
69,23
69,56
69,226
69,470
69,547
69,618
70,36
70,203
70,269
70,1008
71,50
71,60
72,36
72,168
72,218
72,329
72,463
72,464
72,623
73,78
73,102
73,118
73,132
73,372
73,477
74,43
74,45
74,164
74,167
74,250
74,427
74,459
74,678
75,16
75,92
75,231
75,304
75,310
75,311
75,414
75,415
