"V1","V2"
1,25
1,52
1,58
1,70
1,87
1,92
1,96
1,100
1,110
1,127
1,151
1,161
1,174
2,52
2,100
2,134
2,190
5,204
8,30
8,104
8,160
9,19
9,54
9,115
9,205
11,44
11,74
13,61
13,153
14,182
15,22
15,55
15,76
15,189
16,40
16,140
17,122
18,63
18,129
18,158
18,195
21,59
21,102
21,140
22,55
22,64
22,76
22,123
22,189
23,36
25,43
25,60
25,77
25,87
25,92
25,147
27,68
27,93
29,51
29,55
30,54
30,104
30,160
31,114
31,185
32,178
33,140
34,187
34,200
36,97
36,167
38,155
43,60
43,77
44,74
44,136
47,74
47,79
47,102
47,105
47,139
47,153
47,189
47,191
47,201
51,55
51,61
52,127
52,190
53,83
53,136
54,115
55,61
55,66
55,86
55,123
55,157
56,71
56,129
57,133
58,149
59,65
59,104
63,198
64,66
64,123
64,139
64,157
65,104
66,82
66,157
70,158
70,195
74,136
74,176
75,187
75,204
78,137
79,99
79,108
79,164
79,173
81,131
83,136
87,88
87,92
87,96
87,110
87,127
87,156
87,179
87,183
88,183
89,111
89,131
90,117
91,187
92,110
96,100
96,110
96,137
96,150
96,179
98,192
99,164
99,173
100,137
100,150
101,108
102,189
102,201
103,128
103,141
104,160
105,139
108,173
109,121
109,142
110,134
112,185
114,138
114,185
115,144
123,139
123,157
123,178
123,189
124,142
124,160
124,161
125,204
127,150
127,151
129,158
132,150
132,185
134,196
136,202
137,179
138,180
138,185
139,189
139,193
140,160
140,194
142,160
146,192
148,194
149,165
149,186
153,170
158,195
160,166
160,194
161,190
164,173
165,178
165,187
165,199
179,196
181,182
183,190
189,191
