sex,race,age,partyid,relig,numgiven,close12,close13,close14,close15,close23,close24,close25,close34,close35,close45,sex1,sex2,sex3,sex4,sex5,race1,race2,race3,race4,race5,educ1,educ2,educ3,educ4,educ5,age1,age2,age3,age4,age5,relig1,relig2,relig3,relig4,relig5
female,other,52,independent,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,other,43,not str republican,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,black,52,strong democrat,protestant,4,1,2,0,NA,2,2,NA,1,NA,NA,1,1,0,0,NA,1,1,1,1,NA,1,h.s. grad,Grad,Bachelors,NA,56,40,58,59,NA,protestant,protestant,protestant,protestant,NA
female,other,34,"ind,near dem",catholic,4,2,0,2,NA,2,2,NA,2,NA,NA,1,0,1,1,NA,2,2,2,2,NA,1,h.s. grad,Grad,Grad,NA,63,36,34,36,NA,catholic,catholic,catholic,catholic,NA
male,other,22,"ind,near dem",moslem/islam,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,black,26,not str democrat,protestant,6,0,2,1,1,1,1,1,2,2,2,1,1,0,1,1,0,1,1,2,2,1,h.s. grad,h.s. grad,Some College,Some College,25,25,39,33,30,other,other,catholic,catholic,catholic
male,black,74,independent,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,58,not str democrat,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,1,Bachelors,NA,NA,NA,57,52,NA,NA,NA,catholic,jewish,NA,NA,NA
male,black,32,strong democrat,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,black,48,strong republican,protestant,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,39,strong democrat,none,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
female,black,38,strong democrat,protestant,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
male,other,29,strong democrat,none,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,33,NA,NA,NA,NA,catholic,NA,NA,NA,NA
female,white,67,independent,catholic,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
