"Country.Code","Age dependency ratio (% of working-age population)","Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP (constant 2010 US$)","GDP (current US$)","GDP growth (annual %)","GDP per capita (constant 2010 US$)","GDP per capita (current US$)","GDP per capita growth (annual %)","GDP per capita, PPP (constant 2017 international $)","GDP per capita, PPP (current international $)","GDP, PPP (constant 2017 international $)","GDP, PPP (current international $)","Inflation, GDP deflator (annual %)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Merchandise exports (current US$)","Merchandise imports (current US$)","Merchandise trade (% of GDP)","Personal remittances, received (% of GDP)","Personal remittances, received (current US$)","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)","Population ages 0-14 (% of total population)","Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)","Population ages 15-64 (% of total population)","Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)","Population ages 65 and above (% of total population)","Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)","Population growth (annual %)","Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total","Primary education, duration (years)","Proportion of seats held by women in national parliaments (%)","Refugee population by country or territory of asylum","Refugee population by country or territory of origin","Rural population","Rural population (% of total population)","Rural population growth (annual %)","Secondary education, duration (years)","Secure Internet servers (per 1 million people)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Urban population","Urban population (% of total population)","Urban population growth (annual %)"
"AFG","80.0882594983951","4.77066404234554","75.3175954560496","41.54","21386910830.2407","19807067268.1084","-1.9347782488959","549.391787084908","508.808409485223","-4.16819108714095","1978.96157872183","2087.63639400062","77037691162.3816","81268221429.6666","5.49747785416332","47.06","10657912","783000000","6475000000","36.6434863968287","3.98300820897133","788917115.24523","14.5899742065196","14.5543023182762","41.8226014534499","7947146","41.9328521054897","8333700","41.7180088469992","16280845","13.9382777907813","13.8896335225829","13.4046001081887","13.27407300614","11.8799861292241","11.9038318724747","55.5283288943229","10452059","55.1499424126412","11164198","55.8873142702102","21616257","10.0738620929971","10.0983792515768","7.90726039722509","8.06354941727095","6.2216825217459","6.50332281835468","5.2143100312599","5.34718076677497","4.17211813629283","4.3452567334284","3.31103568812198","3.39015326438651","2.65496508139794","2.64908380019989","2.09190803160561","2.05933892046386","1.62281430277084","1.52721742527945","2.6490696522272","552871","2.91720548186911","478367","2.39467688279065","1031239","1.20947699872035","1.07946605634236","0.908591755330656","0.702103220997519","0.480723061684641","0.384941829716416","0.318413666133462","0.228165775734353","2.30381209309418","18952076","48.6845201032328","19976265","51.3154798967672","38928341","6","27.0161290322581","72278","2594774","28796851","73.974","1.93678944009595","6","34.9873630628133","11.73","10131490","26.026","3.35442115854384"
"ALB","46.9301086542868","21.6054531663003","25.3246554879864","52.73","14370506253.3253","14799615097.1008","-3.31123944391327","5064.06191586953","5215.27675237003","-2.7508163423052","13295.4108845409","13817.7589656756","37728959169.7297","39211248780.5331","-0.964778964039652","59.72","1402604","2506000000","5570000000","54.5689867406219","9.90557661717935","1465987212.49096","5.64112870695768","5.90995921388066","17.2358578454283","231492","16.6132846833101","257617","17.8364513481813","489109","5.64877155388985","5.98970174382166","5.32338442246261","5.93679039047896","6.60816114518154","7.25179113465154","68.0595608376824","944602","67.7903538779664","986753","68.3192759815227","1931355","7.8538744280249","8.01344153193046","8.13864124334966","8.82882255511998","7.16807045006461","8.37248773480693","5.39181620934607","6.1894677049581","5.42175069316376","5.18162590102914","6.386377049946","5.47984111574","6.77106701219883","6.04240827902239","7.30684473556457","6.73537632602679","6.74375091112643","6.22401369823733","14.7045813168893","217322","15.5963614387235","199956","13.844272670296","417278","5.23294406709853","4.76796152696021","3.941019867156","3.58035766709405","3.19209163490403","2.82847026791578","3.23030586956491","2.66748320832599","-0.577942252408581","1393417","49.1029953436653","1444326","50.8970046563347","2837743","5","29.5081967213115","115","15536","1075164","37.888","-2.88172360590962","7","884.858142544973","11.7","1762579","62.112","0.85386648009412"
"DZA","60.0677247408735","10.7932504933509","49.2744742475225","35.13","191310679011.579","145163902228.168","-5.48099193515836","4362.73953647076","3310.38653352368","-7.20102237381076","10681.6792969827","11268.2644722324","468402778164.2","494125149907.235","-4.68811970318545","40.3","12231916","21517000000","35122000000","39.0172757349655","1.15889490138369","1682297061.57185","11.3722140171317","11.619049871697","30.7835156672667","6608900","30.4596415165343","6889992","31.1007118956705","13498893","10.4590976684356","10.6827548564111","8.62832983096694","8.79890716756234","6.57163458846254","6.70079834581937","62.4735570719822","13584234","62.6081341700913","13811078","62.3417788941748","27395306","6.76958146971261","6.9108886381971","8.12023744039275","8.17923040589681","8.52734922214743","8.47493126238162","8.13348336781161","8.04726212306255","6.92626963758285","6.82149091478991","5.62511767052345","5.48029936884891","4.77085674741505","4.63459825958589","4.0109672960633","3.91762445535323","3.15263672997965","3.17465512023937","6.74292726075119","1504101","6.93222431337449","1452738","6.55750921015475","2956844","2.58171144848641","2.63178231029176","1.67865168073259","1.62372536586035","1.25399849335641","1.09151889372698","1.41786269079908","1.21048264027566","1.83653350440444","21697235","49.4794046289845","22153808","50.5205953710155","43851043","5","25.7575757575758","97671","4693","11518353","26.267","-0.213353122890104","7","48.0262236864013","12.83","32332690","73.733","2.57706633702793"
"ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"431000000","600000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.208127919920259",NA,NA,NA,NA,"55197","6",NA,NA,NA,"7091","12.847","-0.253521262548645",NA,"217.403119734768",NA,"48106","87.153","-0.201435032653205"
"AND",NA,NA,NA,NA,"3121702240.48787",NA,"-11.9560584192697","40402.5398367679",NA,"-12.091659649427",NA,NA,NA,NA,"1.05752532730277",NA,NA,"116000000","1448000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.154134127179226",NA,NA,NA,NA,"77265","6","46.4285714285714",NA,"15","9337","12.084","0.720162192402506","6","9719.79550896266",NA,"67928","87.916","0.0765809586482714"
"AGO","94.5026723334307","4.26245349041449","90.2402188430162","69.64","95012860718.0854","62306913444.2917","-4.04051000025351","2890.89289718216","1895.77086891313","-7.07982235374452","6198.08384070806","6538.45205387291","203707884595.18","214894517507.738","15.0969974726712","75.45","13292663","20978000000","9716000000","49.2625911046666","0.0129248111473529","8053050.89441933","17.2925093394329","17.9788289310474","46.3953623946154","7590076","45.7084858791099","7658353","47.0968220027588","15248424","15.2716604564371","15.7940134814435","13.1443160832399","13.3239795902679","10.7235610974215","10.773273508736","51.4131751845783","8616194","51.887910184387","8281395","50.9283636115411","16897592","8.78223454806684","8.75870110270853","7.41372173072877","7.33289793227546","6.27160517320934","6.14562443460897","5.11954606568298","4.97421724667868","4.12475509469873","3.97126967991258","3.38016589545159","3.20247317640446","2.47418339506226","2.3145379060284","2.07644526195638","2.04532721803938","1.5216919221087","1.41004140614863","2.19146242080635","399128","2.40360393650306","321122","1.97481438570015","720252","0.955665139733478","0.893168692696024","0.706932769693325","0.584987150134033","0.417641299534043","0.30665640891293","0.323364727542213","0.190002133957162","3.21853035205175","16605398","50.5241361751203","16260870","49.4758638248797","32866268","6","30","25806","8264","10903384","33.175","1.28407907063163","6","20.0813794861041","7.7","21962884","66.825","4.19296192786897"
"ATG","45.3131723820688","13.561158018133","31.7520143639358",NA,"1260351654.12395","1415059259.25926","-15.9735096410208","12870.1868119838","14449.9965204973","-16.671099060409","17956.315715683","18942.3880651775","1758426085.4054","1854990178.4467","1.32977119304896",NA,NA,"20000000","484000000","35.6168829469254","1.74593461682184","24706009.4559501","7.15568803174164","7.89100679092005","21.8505243594849","10554","20.8334155826211","10843","22.9389240305486","21398","7.02737914289662","7.75984260297446","6.65034840798279","7.28807463665404","6.88920033952506","7.53770970403436","68.8172043010753","35186","69.4565625061687","32205","68.1313334320591","67391","7.40638386071577","8.09621527851234","7.24846522829112","7.70695381751253","7.28597090349197","7.13998603736064","7.34716437355652","6.99401298948571","7.3175546299769","6.78880450189342","7.44981148463254","6.70629799657281","7.18529777532127","6.68302693096956","6.40952249353521","5.89392625187755","4.91719141712233","4.58439992384015","9.3322713394398","4919","9.71002191121025","4221","8.92974253739237","9139","3.56698710989163","3.33834013835706","2.64118912730216","2.46038629968901","1.69565131565961","1.56762360109162","1.80619435835686","1.56339249825467","0.833667148911523","50659","51.7308634915448","47269","48.2691365084552","97928","7","11.1111111111111",NA,"118","74001","75.567","0.929974051677511","5","1245.81325055143",NA,"23927","24.433","0.53639654235646"
"ARG","55.7676610064414","17.7053491540214","38.06231185242","49.44","394446952845.238","383066977653.56","-9.90523485573888","8692.70804630198","8441.9194391094","-10.7749774146387","19686.523658911","20767.6105001703","893310718364.297","942366939742.537","39.8408568177334","55.97","19191447","54884000000","42354000000","25.3840726746069","0.165065054526558","632309715.537088","7.92005108648425","8.6326518042921","24.4353111421435","5441658","23.4157359660678","5646296","25.505640898745","11087953","7.86588769657234","8.56781029070241","7.62979718301121","8.3051788037505","7.51594908131555","8.16249300539803","64.1981770242501","14746578","63.4552864302369","14384474","64.9780313486971","29131055","7.40754453639495","7.99458627558637","7.53906259619381","8.05115082461697","7.1726896238161","7.52293989073318","6.79206835759381","7.03109771235584","6.79038344716343","6.88532789433205","5.87374464992335","5.79736285477905","5.17683113365397","5.00458838632571","4.83792220129141","4.55071139716704","4.34909080289049","3.97777310740289","11.3665118336064","3051085","13.1289776036953","2106672","9.51632775255785","5157755","3.8850491892319","3.38222169693103","3.27627376960388","2.62538966361781","2.49572389174044","1.74944644114561","3.4719307531191","1.7592699508634","0.970053991438048","23239321","51.2141455162946","22137442","48.7858544837054","45376763","6","40.8560311284047","4045","139","3579773","7.889","-0.539581529777376","6","3685.76312946783","11.67","41796990","92.111","1.10041505272326"
"ARM","48.4455278492478","17.5208498649418","30.924677984306","39.98","12932478333.2497","12645459213.5235","-7.59999999999999","4364.31221201217","4267.45211938157","-7.77168890475744","12592.6353675009","13284.160830729","37314925270.5811","39364077035.0845","1.87745778397905","50.11","1175542","2544000000","4559000000","56.1703602855624","10.4932027260169","1326913670.91081","6.18698976162275","7.74050096610073","20.832344833009","289898","18.4708761525263","327414","23.4916380089069","617311","6.38609940700369","8.15377539826095","5.89778698389983","7.59736164454524","5.04916574651462","6.54573606257089","67.3647756866379","1066362","67.9433470936682","929814","66.7132557056625","1996176","5.32466978063533","6.6674224231514","7.72093046963753","7.981936463361","8.98159717155988","9.05659348504427","8.18394800339219","7.77156829754611","6.61706659564558","6.23534974425057","5.68478744965712","5.24535658193345","5.91620064390466","5.05120369765818","7.27250369069639","6.1171073372714","7.19247754202488","6.04098161287522","11.8028794803531","213227","13.5857767538055","136519","9.79510628543057","349747","4.888794873739","3.91692322925179","3.22060647842257","2.42483033147336","1.68558261393691","1.14403833694351","3.79079278770707","2.30931438776191","0.185983344838062","1569487","52.9653412454096","1393747","47.0346587545904","2963234","4","23.4848484848485","107930","10518","1087122","36.687","-0.0698849317915149","8","587.533755349729","20.21","1876112","63.313","0.334547576037799"
"ABW","47.0322527336326","21.4751976202936","25.557055113339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34989495.8852772","5.297199059226","6.13522372734094","17.3819380701722","9113","16.2372603520775","9444","18.648552584811","18558","4.96579003634809","5.70672564274713","5.97427125650346","6.80660321472296","6.34131565818545","7.20943090715217","68.012288556282","38000","67.7072197277457","34616","68.3543303976936","72614","6.69766944622621","7.51550096757632","6.43753118095646","7.50760238537183","4.77870429762669","5.41447810118084","5.56802793813698","5.32166976027803","6.61392630603664","5.97922672880218","7.22329128358635","6.86584258125666","7.84512864371748","7.38319971565104","8.72532250017818","8.22637336598081","7.47630247309529","6.93100588444374","14.6057733735459","9011","16.0555199201767","6582","12.9971170174954","15594","5.9920889459055","5.3019233047668","4.28693607013043","3.7439279649303","2.75996008837574","2.1859326250938","3.01653481576509","1.76533312270447","0.428016948088116","56124","52.5672967049435","50642","47.4327032950565","106766","6",NA,NA,NA,"60112","56.303","0.159829549208162","5","1582.90092351498",NA,"46654","43.697","0.774630546446726"
