"","id","sex","race","grade"
"1",1,1,1,10
"2",2,2,5,10
"3",3,2,2,10
"4",4,1,1,10
"5",5,2,3,11
"6",6,2,2,11
"7",7,2,2,11
"8",8,1,2,10
"9",9,2,2,9
"10",10,1,1,9
"11",11,1,1,12
"12",12,2,2,9
"13",13,1,2,11
"14",14,1,2,11
"15",15,1,1,9
"16",16,1,2,11
"17",17,2,2,9
"18",18,2,1,10
"19",19,1,3,9
"20",20,1,1,12
"21",21,1,1,11
"22",22,1,2,12
"23",23,2,1,12
"24",24,2,2,10
"25",25,1,2,11
"26",26,2,1,10
"27",27,2,1,10
"28",28,2,1,11
"29",29,2,1,9
"30",30,2,1,9
"31",31,2,2,12
"32",32,2,2,12
"33",33,1,2,9
"34",34,2,1,11
"35",35,1,1,11
"36",36,1,1,9
"37",37,1,1,10
"38",38,2,2,9
"39",39,1,1,11
"40",40,1,3,10
"41",41,1,1,9
"42",42,2,1,9
"43",43,1,1,9
"44",44,2,1,11
"45",45,2,1,11
"46",46,1,1,11
"47",47,2,2,10
"48",48,1,2,11
"49",49,2,2,12
"50",50,2,1,12
"51",51,1,1,11
"52",52,2,1,12
"53",53,2,1,10
"54",54,2,1,10
"55",55,2,1,11
"56",56,1,1,12
"57",57,1,2,12
"58",58,2,1,9
"59",59,2,2,9
"60",60,1,1,12
"61",61,2,5,10
"62",62,2,5,10
"63",63,2,2,12
"64",64,2,3,9
"65",65,2,2,9
"66",66,2,2,9
"67",67,1,1,11
"68",68,1,2,9
"69",69,2,1,12
"70",70,1,1,9
"71",71,2,1,12
"72",72,1,1,9
"73",73,1,1,12
"74",74,2,1,9
"75",75,2,2,11
"76",76,2,3,9
"77",77,1,1,11
"78",78,1,1,11
"79",79,2,2,10
"80",80,2,2,11
"81",81,1,2,9
"82",82,2,2,9
"83",83,2,5,12
"84",84,2,3,9
"85",85,2,1,9
"86",86,1,2,9
"87",87,1,1,11
"88",88,1,2,12
"89",89,2,2,9
"90",90,2,2,12
"91",91,2,2,9
"92",92,1,2,10
"93",93,2,2,11
"94",94,1,1,11
"95",95,2,2,9
"96",96,2,2,11
"97",97,2,1,9
"98",98,1,1,10
"99",99,2,1,10
"100",100,1,2,9
"101",101,2,1,9
"102",102,1,1,12
"103",103,1,1,11
"104",104,2,2,12
"105",105,2,1,12
"106",106,1,1,9
"107",107,2,1,11
"108",108,1,1,9
"109",109,1,1,9
"110",110,2,1,9
"111",111,2,2,10
"112",112,1,1,9
"113",113,1,1,9
"114",114,1,1,9
"115",115,1,1,12
"116",116,2,2,10
"117",117,2,5,10
"118",118,2,1,10
"119",119,1,1,10
"120",120,2,2,10
"121",121,1,2,12
"122",122,1,1,12
"123",123,1,1,9
"124",124,2,2,11
"125",125,2,1,9
"126",126,2,1,10
"127",127,1,2,9
"128",128,2,2,9
"129",129,2,2,12
"130",130,1,3,9
"131",131,1,1,10
"132",132,1,1,12
"133",133,2,1,11
"134",134,2,2,9
"135",135,1,3,10
"136",136,1,1,10
"137",137,2,1,9
"138",138,1,0,9
"139",139,1,3,9
"140",140,2,1,12
"141",141,1,1,9
"142",142,2,2,12
"143",143,2,3,11
"144",144,2,2,11
"145",145,2,2,9
"146",146,2,2,10
"147",147,2,2,12
"148",148,1,2,9
"149",149,2,2,9
"150",150,2,2,11
"151",151,1,2,12
"152",152,1,1,12
"153",153,2,1,11
"154",154,2,5,9
"155",155,1,1,11
"156",156,1,1,11
"157",157,1,2,10
"158",158,2,2,12
"159",159,1,2,0
"160",160,2,5,12
"161",161,2,2,9
"162",162,1,2,10
"163",163,2,1,10
"164",164,2,1,9
"165",165,1,2,10
"166",166,1,5,10
"167",167,1,1,10
"168",168,1,1,9
"169",169,1,5,9
"170",170,2,1,11
"171",171,2,2,9
"172",172,2,1,9
"173",173,0,0,6
"174",174,2,2,11
"175",175,1,3,11
"176",176,2,2,10
"177",177,1,2,9
"178",178,1,2,12
"179",179,1,1,11
"180",180,2,1,10
"181",181,2,1,9
"182",182,1,3,9
"183",183,1,1,11
"184",184,2,1,12
"185",185,1,1,11
"186",186,1,1,10
