"","FamilyA","FamilyB"
"1","Adimari","Della_Casa"
"2","Albizzi","Nerli"
"3","Aldobrandini","Peruzzi"
"4","Ardinghelli","Da_Uzzano"
"5","Arrigucci","Baronci"
"6","Arrigucci","Del_Buletta"
"7","Arrigucci","Lamberteschi"
"8","Baldovinetti","Manelli"
"9","Baldovinetti","Pepi"
"10","Bardi","Berlinghieri"
"11","Bardi","Medici"
"12","Bardi","Da_Uzzano"
"13","Baroncelli","Guicciardini"
"14","Baroncelli","Peruzzi"
"15","Baronci","Arrigucci"
"16","Bartoli","Rucellai"
"17","Bartoli","Strozzi"
"18","Benci","Medici"
"19","Bencivenni","Peruzzi"
"20","Benizzi","Castellani"
"21","Benizzi","Guicciardini"
"22","Benizzi","Peruzzi"
"23","Berlinghieri","Bardi"
"24","Berlinghieri","Medici"
"25","Bischeri","Peruzzi"
"26","Brancacci","Fagni"
"27","Del_Buletta","Arrigucci"
"28","Capponi","Manelli"
"29","Carducci","Manovelli"
"30","Carnessecchi","Giuntini"
"31","Carnessecchi","Medici"
"32","Della_Casa","Adimari"
"33","Della_Casa","Medici"
"34","Castellani","Benizzi"
"35","Castellani","Manelli"
"36","Castellani","Rondinelli"
"37","Corbinelli","Dietisalvi"
"38","Corsi","Medici"
"39","Dietisalvi","Corbinelli"
"40","Dietisalvi","Ginori"
"41","Dietisalvi","Orlandini"
"42","Fagni","Brancacci"
"43","Federighi","Rucellai"
"44","Franceschi","Rucellai"
"45","Frescobaldi","Manelli"
"46","Frescobaldi","Pazzi"
"47","Ginori","Dietisalvi"
"48","Giuntini","Carnessecchi"
"49","Giuntini","Medici"
"50","Guasconi","Medici"
"51","Guasconi","Pazzi"
"52","Guasconi","Rondinelli"
"53","Guasconi","Spini"
"54","Guicciardini","Baroncelli"
"55","Guicciardini","Benizzi"
"56","Guicciardini","Rossi"
"57","Guicciardini","Da_Uzzano"
"58","Lamberteschi","Arrigucci"
"59","Manelli","Baldovinetti"
"60","Manelli","Capponi"
"61","Manelli","Castellani"
"62","Manelli","Frescobaldi"
"63","Manovelli","Carducci"
"64","Martelli","Medici"
"65","Masi","Serristori"
"66","Medici","Bardi"
"67","Medici","Benci"
"68","Medici","Berlinghieri"
"69","Medici","Carnessecchi"
"70","Medici","Della_Casa"
"71","Medici","Corsi"
"72","Medici","Giuntini"
"73","Medici","Guasconi"
"74","Medici","Martelli"
"75","Medici","Pazzi"
"76","Medici","Portinari"
"77","Medici","Salviati"
"78","Medici","Tornabuoni"
"79","Minerbetti","Popoleschi"
"80","Nerli","Albizzi"
"81","Orlandini","Dietisalvi"
"82","Da_Panzano","Da_Uzzano"
"83","Pazzi","Frescobaldi"
"84","Pazzi","Guasconi"
"85","Pazzi","Medici"
"86","Pepi","Baldovinetti"
"87","Peruzzi","Aldobrandini"
"88","Peruzzi","Baroncelli"
"89","Peruzzi","Bencivenni"
"90","Peruzzi","Benizzi"
"91","Peruzzi","Bischeri"
"92","Peruzzi","Raugi"
"93","Peruzzi","Ricasoli"
"94","Popoleschi","Minerbetti"
"95","Portinari","Medici"
"96","Raugi","Peruzzi"
"97","Ricasoli","Peruzzi"
"98","Rondinelli","Castellani"
"99","Rondinelli","Guasconi"
"100","Rondinelli","Velluti"
"101","Rossi","Guicciardini"
"102","Rossi","Scambrilla"
"103","Rucellai","Bartoli"
"104","Rucellai","Federighi"
"105","Rucellai","Franceschi"
"106","Salviati","Medici"
"107","Scambrilla","Rossi"
"108","Serristori","Masi"
"109","Spini","Guasconi"
"110","Strozzi","Bartoli"
"111","Tornabuoni","Medici"
"112","Da_Uzzano","Ardinghelli"
"113","Da_Uzzano","Bardi"
"114","Da_Uzzano","Guicciardini"
"115","Da_Uzzano","Da_Panzano"
"116","Velluti","Rondinelli"
